CommonName,AllTimeTotal
American_Shad,455710
Arrow_Goby,5498
Barred_Surfperch,860
Bat_Ray,147
Bay_Goby,7521
Bay_Pipefish,2453
Big_Skate,48
Bigscale_Logperch,12381
Black_Crappie,2642
Blackfordia_Virginica,2085
Bluegill,19134
Bluegill_Sunfish,451
Brown_Bullhead,14
Brown_Smoothhound,66
California_Grunion,719
California_Halibut,22
California_Roach,1350
California_Tonguefish,12
Carp,666
Catfish_(Unid),5348
Centrarchid_(Unid),2227
Chameleon_Goby,3043
Channel_Catfish,6217
Cheekspot_Goby,1393
Chinook_Salmon,949034
Comb_Jelly_Or_Sea_Goosberry,11414
Common_Carp,7809
Crangon,508934
Cyprinids_(Unid),486
Delta_Smelt,203029
Diamond_Turbot,157
Dungeness_Crab,77
Dwarf_Surfperch,3058
English_Sole,528
Fathead_Minnow,29680
Goby_(Unid),622
Goby_Unknown,6382
Golden_Shiner,27222
Goldfish,1606
Green_Sturgeon,30
Green_Sunfish,277
Hardhead,3516
Herring_(Unid),1434
Hitch,4234
Inland_Silverside,2005196
Jacksmelt,33413
Jelly_(Unid),20
Jellyfish,13224
Lampreys_(Unid),25
Largemouth_Bass,18646
Lens_Jellyfish,287
Longfin_Smelt,758466
Longjaw_Mudsucker,813
Maeotias,151608
Mississippi_Silverside,3265
Moon_Jelly,673
Mosquitofish,46
Night_Smelt,60
Northern_Anchovy,5319976
Pacific_Herring,920032
Pacific_Lamprey,1921
Pacific_Pompano,296
Pacific_Sanddab,32
Pacific_Sardine,15064
Pacific_Staghorn Sculpin,8110
Pacific_Staghorn_Sculpin,1146
Pacific_Tomcod,568
Palaemon,50894
Pile_Perch,13
Plainfin_Midshipman,15241
Pleurobrachia_Jellyfish,163
Polyorchis,4303
Prickly_Sculpin,132536
Rainwater_Killifish,5763
Red_Shiner,448064
Redear_Sunfish,16816
River_Lamprey,425
Sacramento_Blackfish,658
Sacramento_Pikeminnow,66497
Sacramento_Sucker,195980
Scrippsia_Pacifica,111
Sculpins_(Unid),33
Shimofuri_Goby,13656
Shiner_Perch,19729
Shokihaze_Goby,2215
Shrimp_(Unid),194
Siberian_Prawn,70270
Silversides_(Unid),222
Smallmouth_Bass,888
Smelt_(Unid),1969
Speckled_Sanddab,291
Spiny_Dogfish,18
Splittail,274166
Spotted_Bass,3381
Staghorn_Sculpin,1051
Starry_Flounder,4380
Steelhead,9934
Striped_Bass,322633
Striped_Bass_Adult,1929
Striped_Bass_Age_0,598737
Striped_Bass_Age_1,8096
Sturgeon_(Unid),43
Surf_Smelt,662
Threadfin_Shad,870911
Threespine_Stickleback,12519
Topsmelt,115423
Tri_Goby,15752
Tridentiger_Spp.,292655
Tule_Perch,11817
Unknown,1215
Wakasagi,6724
Walleye_Surfperch,645
Warmouth,123
Western_Mosquitofish,64340
White_Catfish,30522
White_Crappie,3484
White_Croaker,1855
White_Seaperch,70
White_Sturgeon,1667
Whitebait_Smelt,545
Yellowfin_Goby,172927
