CommonName,Survey,Age0Cut,Age1Cut
American_Shad,1,30,NA
American_Shad,2,30,NA
American_Shad,3,30,NA
American_Shad,4,30,NA
American_Shad,5,60,NA
American_Shad,6,70,NA
American_Shad,7,95,NA
American_Shad,8,110,NA
American_Shad,9,145,NA
American_Shad,10,165,NA
American_Shad,11,170,NA
American_Shad,12,170,NA
Longfin_Smelt,1,40,90
Longfin_Smelt,2,42,93
Longfin_Smelt,3,46,96
Longfin_Smelt,4,52,100
Longfin_Smelt,5,59,105
Longfin_Smelt,6,67,108
Longfin_Smelt,7,71,111
Longfin_Smelt,8,75,114
Longfin_Smelt,9,80,117
Longfin_Smelt,10,83,120
Longfin_Smelt,11,85,122
Longfin_Smelt,12,87,124
Northern_Anchovy,1,90,NA
Northern_Anchovy,2,90,NA
Northern_Anchovy,3,90,NA
Northern_Anchovy,4,90,NA
Northern_Anchovy,5,90,NA
Northern_Anchovy,6,90,NA
Northern_Anchovy,7,90,NA
Northern_Anchovy,8,90,NA
Northern_Anchovy,9,90,NA
Northern_Anchovy,10,90,NA
Northern_Anchovy,11,90,NA
Northern_Anchovy,12,90,NA
Pacific_Herring,1,45,145
Pacific_Herring,2,50,145
Pacific_Herring,3,70,145
Pacific_Herring,4,85,150
Pacific_Herring,5,95,155
Pacific_Herring,6,105,160
Pacific_Herring,7,110,165
Pacific_Herring,8,120,170
Pacific_Herring,9,125,170
Pacific_Herring,10,125,175
Pacific_Herring,11,135,175
Pacific_Herring,12,140,180
Shimofuri_Goby,1,30,NA
Shimofuri_Goby,2,30,NA
Shimofuri_Goby,3,30,NA
Shimofuri_Goby,4,30,NA
Shimofuri_Goby,5,30,NA
Shimofuri_Goby,6,30,NA
Shimofuri_Goby,7,42,NA
Shimofuri_Goby,8,52,NA
Shimofuri_Goby,9,54,NA
Shimofuri_Goby,10,56,NA
Shimofuri_Goby,11,62,NA
Shimofuri_Goby,12,68,NA
Shokihaze_Goby,1,20,NA
Shokihaze_Goby,2,20,NA
Shokihaze_Goby,3,20,NA
Shokihaze_Goby,4,20,NA
Shokihaze_Goby,5,24,NA
Shokihaze_Goby,6,28,NA
Shokihaze_Goby,7,34,NA
Shokihaze_Goby,8,47,NA
Shokihaze_Goby,9,56,NA
Shokihaze_Goby,10,62,NA
Shokihaze_Goby,11,70,NA
Shokihaze_Goby,12,74,NA
Striped_Bass,1,165,295
Striped_Bass,2,165,300
Striped_Bass,3,170,305
Striped_Bass,4,175,320
Striped_Bass,5,60,180
Striped_Bass,6,80,200
Striped_Bass,7,90,220
Striped_Bass,8,125,240
Striped_Bass,9,135,260
Striped_Bass,10,145,270
Striped_Bass,11,155,280
Striped_Bass,12,165,290
White_Catfish,1,1000,NA
White_Catfish,2,1000,NA
White_Catfish,3,1000,NA
White_Catfish,4,1000,NA
White_Catfish,5,1000,NA
White_Catfish,6,1000,NA
White_Catfish,7,1000,NA
White_Catfish,8,1000,NA
White_Catfish,9,1000,NA
White_Catfish,10,1000,NA
White_Catfish,11,1000,NA
White_Catfish,12,1000,NA
White_Sturgeon,1,80,380
White_Sturgeon,2,80,390
White_Sturgeon,3,80,400
White_Sturgeon,4,80,410
White_Sturgeon,5,160,420
White_Sturgeon,6,200,440
White_Sturgeon,7,240,460
White_Sturgeon,8,280,480
White_Sturgeon,9,320,500
White_Sturgeon,10,340,510
White_Sturgeon,11,360,520
White_Sturgeon,12,380,530
Threadfin_Shad,1,500,NA
Threadfin_Shad,2,500,NA
Threadfin_Shad,3,500,NA
Threadfin_Shad,4,500,NA
Threadfin_Shad,5,500,NA
Threadfin_Shad,6,500,NA
Threadfin_Shad,7,500,NA
Threadfin_Shad,8,500,NA
Threadfin_Shad,9,500,NA
Threadfin_Shad,10,500,NA
Threadfin_Shad,11,500,NA
Threadfin_Shad,12,500,NA
Chinook_Salmon,1,250,NA
Chinook_Salmon,2,250,NA
Chinook_Salmon,3,250,NA
Chinook_Salmon,4,250,NA
Chinook_Salmon,5,250,NA
Chinook_Salmon,6,250,NA
Chinook_Salmon,7,250,NA
Chinook_Salmon,8,250,NA
Chinook_Salmon,9,250,NA
Chinook_Salmon,10,250,NA
Chinook_Salmon,11,250,NA
Chinook_Salmon,12,250,NA
