CommonName,Month,Age0Cut,Age1Cut
American_Shad,1,30,1000
American_Shad,2,30,1000
American_Shad,3,30,1000
American_Shad,4,30,1000
American_Shad,5,60,1000
American_Shad,6,70,1000
American_Shad,7,95,1000
American_Shad,8,110,1000
American_Shad,9,145,1000
American_Shad,10,165,1000
American_Shad,11,170,1000
American_Shad,12,170,1000
Longfin_Smelt,1,40,90
Longfin_Smelt,2,42,93
Longfin_Smelt,3,46,96
Longfin_Smelt,4,52,100
Longfin_Smelt,5,59,105
Longfin_Smelt,6,67,108
Longfin_Smelt,7,71,111
Longfin_Smelt,8,75,114
Longfin_Smelt,9,80,117
Longfin_Smelt,10,83,120
Longfin_Smelt,11,85,122
Longfin_Smelt,12,87,124
Northern_Anchovy,1,90,90
Northern_Anchovy,2,90,90
Northern_Anchovy,3,90,90
Northern_Anchovy,4,90,90
Northern_Anchovy,5,90,90
Northern_Anchovy,6,90,90
Northern_Anchovy,7,90,90
Northern_Anchovy,8,90,90
Northern_Anchovy,9,90,90
Northern_Anchovy,10,90,90
Northern_Anchovy,11,90,90
Northern_Anchovy,12,90,90
Pacific_Herring,1,45,45
Pacific_Herring,2,50,50
Pacific_Herring,3,70,70
Pacific_Herring,4,85,85
Pacific_Herring,5,95,95
Pacific_Herring,6,105,105
Pacific_Herring,7,110,110
Pacific_Herring,8,120,120
Pacific_Herring,9,125,125
Pacific_Herring,10,125,125
Pacific_Herring,11,135,135
Pacific_Herring,12,140,140
Shimofuri_Goby,1,30,30
Shimofuri_Goby,2,30,30
Shimofuri_Goby,3,30,30
Shimofuri_Goby,4,30,30
Shimofuri_Goby,5,30,30
Shimofuri_Goby,6,30,30
Shimofuri_Goby,7,42,42
Shimofuri_Goby,8,52,52
Shimofuri_Goby,9,54,54
Shimofuri_Goby,10,56,56
Shimofuri_Goby,11,62,62
Shimofuri_Goby,12,68,68
Shokihaze_Goby,1,20,20
Shokihaze_Goby,2,20,20
Shokihaze_Goby,3,20,20
Shokihaze_Goby,4,20,20
Shokihaze_Goby,5,24,24
Shokihaze_Goby,6,28,28
Shokihaze_Goby,7,34,34
Shokihaze_Goby,8,47,47
Shokihaze_Goby,9,56,56
Shokihaze_Goby,10,62,62
Shokihaze_Goby,11,70,70
Shokihaze_Goby,12,74,74
Striped_Bass,1,165,295
Striped_Bass,2,165,300
Striped_Bass,3,170,305
Striped_Bass,4,175,320
Striped_Bass,5,60,180
Striped_Bass,6,80,200
Striped_Bass,7,90,220
Striped_Bass,8,125,240
Striped_Bass,9,135,260
Striped_Bass,10,145,270
Striped_Bass,11,155,280
Striped_Bass,12,165,290
White_Catfish,1,1000,1000
White_Catfish,2,1000,1000
White_Catfish,3,1000,1000
White_Catfish,4,1000,1000
White_Catfish,5,1000,1000
White_Catfish,6,1000,1000
White_Catfish,7,1000,1000
White_Catfish,8,1000,1000
White_Catfish,9,1000,1000
White_Catfish,10,1000,1000
White_Catfish,11,1000,1000
White_Catfish,12,1000,1000
White_Sturgeon,1,80,80
White_Sturgeon,2,80,80
White_Sturgeon,3,80,80
White_Sturgeon,4,80,80
White_Sturgeon,5,160,160
White_Sturgeon,6,200,200
White_Sturgeon,7,240,240
White_Sturgeon,8,280,280
White_Sturgeon,9,320,320
White_Sturgeon,10,340,340
White_Sturgeon,11,360,360
White_Sturgeon,12,380,380
Threadfin_Shad,1,20,500
Threadfin_Shad,2,20,500
Threadfin_Shad,3,20,500
Threadfin_Shad,4,30,500
Threadfin_Shad,5,35,500
Threadfin_Shad,6,40,500
Threadfin_Shad,7,50,500
Threadfin_Shad,8,65,500
Threadfin_Shad,9,80,500
Threadfin_Shad,10,90,500
Threadfin_Shad,11,110,500
Threadfin_Shad,12,120,500
Chinook_Salmon,1,250,1000
Chinook_Salmon,2,250,1000
Chinook_Salmon,3,250,1000
Chinook_Salmon,4,250,1000
Chinook_Salmon,5,250,1000
Chinook_Salmon,6,250,1000
Chinook_Salmon,7,250,1000
Chinook_Salmon,8,250,1000
Chinook_Salmon,9,250,1000
Chinook_Salmon,10,250,1000
Chinook_Salmon,11,250,1000
Chinook_Salmon,12,250,1000
Delta_Smelt,1,40,1000
Delta_Smelt,2,50,1000
Delta_Smelt,3,50,1000
Delta_Smelt,4,50,1000
Delta_Smelt,5,50,1000
Delta_Smelt,6,55,1000
Delta_Smelt,7,65,1000
Delta_Smelt,8,70,1000
Delta_Smelt,9,75,1000
Delta_Smelt,10,80,1000
Delta_Smelt,11,80,1000
Delta_Smelt,12,80,1000
Starry_Flounder,1,60,175
Starry_Flounder,2,60,180
Starry_Flounder,3,70,190
Starry_Flounder,4,80,200
Starry_Flounder,5,95,210
Starry_Flounder,6,110,220
Starry_Flounder,7,125,230
Starry_Flounder,8,140,240
Starry_Flounder,9,150,250
Starry_Flounder,10,155,255
Starry_Flounder,11,160,260
Starry_Flounder,12,165,260
Steelhead,1,1000,1000
Steelhead,2,1000,1000
Steelhead,3,1000,1000
Steelhead,4,1000,1000
Steelhead,5,1000,1000
Steelhead,6,1000,1000
Steelhead,7,1000,1000
Steelhead,8,1000,1000
Steelhead,9,1000,1000
Steelhead,10,1000,1000
Steelhead,11,1000,1000
Steelhead,12,1000,1000
Prickly_Sculpin,1,25,100
Prickly_Sculpin,2,25,100
Prickly_Sculpin,3,25,100
Prickly_Sculpin,4,25,100
Prickly_Sculpin,5,25,100
Prickly_Sculpin,6,25,100
Prickly_Sculpin,7,25,100
Prickly_Sculpin,8,25,100
Prickly_Sculpin,9,25,100
Prickly_Sculpin,10,25,100
Prickly_Sculpin,11,25,100
Prickly_Sculpin,12,25,100
Tridentiger_Spp.,1,30,100
Tridentiger_Spp.,2,30,100
Tridentiger_Spp.,3,30,100
Tridentiger_Spp.,4,30,100
Tridentiger_Spp.,5,30,100
Tridentiger_Spp.,6,30,100
Tridentiger_Spp.,7,42,100
Tridentiger_Spp.,8,52,100
Tridentiger_Spp.,9,56,100
Tridentiger_Spp.,10,62,100
Tridentiger_Spp.,11,70,100
Tridentiger_Spp.,12,74,100
