"Station_Longitude","Station_Latitude","StationNum"
-122.345,37.87,"207"
-122.44,37.92139,"210"
-122.4086,37.9987,"305"
-122.36103,38.03612,"321"
-122.32817,38.02853,"323.1"
-122.319,38.05281,"324"
-122.34842,38.06005,"328"
-122.24892,38.06003,"338"
-122.09415,38.0702,"416"
-122.15815,38.03353,"405"
-122.11128,38.05213,"414"
-122.10772,38.05678,"415"
-122.083,38.08075,"417"
-122.06973,38.09383,"418"
-122.04805,38.11552,"603"
-122.01472,38.092,"515"
-121.99408,38.07867,"516"
-121.96802,38.06875,"518"
-122.0356,38.1031,"601"
-122.04183,38.11783,"602"
-122.05717,38.12163,"604"
-122.05738,38.14853,"605"
-122.02177,38.1698,"606"
-121.967,38.18381,"607"
-122.10637,38.04455,"409"
-122.09647,38.04883,"410"
-122.06828,38.06117,"411"
-122.06007,38.06462,"412"
-122.0473,38.06595,"413"
-122.01955,38.06167,"501.1"
-122.00397,38.05997,"502"
-121.9832,38.06022,"503"
-121.9767,38.05945,"504"
-121.95597,38.05713,"505"
-121.944,38.05281,"506"
-121.939,38.05228,"507"
-121.91492,38.04813,"508"
-121.90412,38.04547,"509"
-121.88783,38.04888,"510"
-121.88,38.0513,"511"
-121.77892,38.07087,"704"
-121.6967,38.12608,"708"
-121.87722,38.05638,"512"
-121.86842,38.0592,"513"
-121.844,38.06389,"514"
-121.83475,38.06505,"701"
-121.814,38.06111,"702"
-121.79692,38.06087,"703.1"
-121.7618,38.07925,"705.1"
-121.74,38.0903,"706"
-121.70797,38.11397,"707"
-121.69048,38.14787,"709"
-121.68228,38.162,"710"
-121.88332,38.0887,"608"
-121.819,38.02219,"803"
-121.79868,38.02308,"804"
-121.847,38.05561,"801"
-121.83875,38.03528,"802"
-121.772,38.02683,"805"
-121.7617,38.02872,"806"
-121.73203,38.02995,"807"
-121.71942,38.03337,"808"
-121.69305,38.0512,"809"
-121.67622,38.07083,"810"
-121.66487,38.09742,"811"
-121.64883,38.08792,"812"
-121.62767,38.09978,"813"
-121.6022,38.10128,"814"
-121.57587,38.0913,"815"
-121.56747,38.10628,"903"
-121.56847,38.07828,"904"
-121.55573,38.05953,"905"
-121.51653,38.05412,"906"
-121.50056,38.0625,"907"
-121.5298,38.04308,"908"
-121.46705,38.02442,"909"
-121.45037,38.00228,"910"
-121.40875,37.99247,"911"
-121.37172,37.96883,"912"
-121.667,38.05669,"901"
-121.58255,38.0205,"902"
-121.53705,37.97012,"913"
-121.53475,37.94662,"914.1"
-122.26988,38.10508,"340"
-122.058,38.10419,"419"
-121.97938,38.07022,"517"
-121.94725,38.07378,"519"
-121.67028,38.17595,"711"
-121.55908,37.949,"915.1"
-121.575,37.87919,"916"
-121.52331,37.87419,"917"
-122.31306,37.69361,"102"
-122.25972,37.59028,"103"
-122.28472,37.60556,"104"
-122.30111,37.62444,"105"
-122.31389,37.64583,"106"
-122.32611,37.66806,"107"
-122.33889,37.69167,"108"
-122.33944,37.71167,"109"
-122.34528,37.73333,"110"
-122.35083,37.75417,"111"
-122.36111,37.78583,"112"
-122.35833,37.67917,"113"
-122.35833,37.82778,"205"
-122.34111,37.84389,"206"
-122.42222,37.88972,"209"
-122.46972,37.85778,"203"
-122.39639,37.83417,"204"
-122.39861,37.86528,"208"
-122.44583,37.94028,"211"
-122.41167,38.02812,"314"
-121.56931,37.86111,"918"
-122.42139,37.81861,"201"
-122.44722,37.84722,"202"
-122.41197,37.98031,"301"
-122.449,38.02219,"313"
-122.427,38.06669,"316"
-122.30588,38.06312,"329"
-122.392,38.07331,"332"
-122.33933,38.07553,"334"
-122.375,38.01389,"302"
-122.305,38.02361,"320"
-122.3125,37.67917,"101"
-122.37743,38.02087,"311"
-122.2955,38.05605,"325"
-122.29592,38.04038,"326"
-122.425,37.97219,"303"
-122.436,37.99581,"304"
-122.432,38.01189,"312"
-122.449,37.99831,"317"
-122.431,38.05,"318"
-122.432,38.0775,"319"
-122.414,38.05189,"330"
-122.394,38.06531,"331"
-122.357,38.07311,"333"
-122.3243,38.0705,"335"
-122.27875,38.06275,"336"
-122.27232,38.0595,"337"
-122.15057,38.028,"406"
-122.35078,38.02363,"322"
-122.2568,38.0667,"339"
-122.21245,38.05758,"401"
-122.183,38.05561,"402"
-122.17192,38.04883,"403"
-122.17887,38.04645,"404"
-122.14515,38.03298,"407"
-122.12897,38.03513,"408"
-122.41488,38.00042,"306"
-122.4192,38.00472,"307"
-122.40438,38.01745,"308"
-122.39387,38.01442,"309"
-122.37355,38.0297,"310"
-122.3936,38.03815,"315"
-122.36672,38.04772,"327"
-121.66008,38.20712,"713"
-121.67362,38.22295,"715"
-121.63138,38.17017,"717"
-121.64095,38.19042,"712"
-121.68438,38.23787,"716"
-121.49525,38.10572,"919"
-121.47947,38.14039,"925"
-121.55878,38.23578,"724"
-121.56968,38.33343,"735"
-121.50475,38.14138,"920"
-121.49303,38.16513,"921"
-121.4789,38.20438,"922"
-121.56625,38.13445,"923"
-122.2802,38.12828,"341"
-121.5214,38.36737,"736"
-121.9347,38.16771,"609"
-121.64733,38.33428,"719"
-121.67348,38.23615,"723"
-121.58468,38.5377,"795"
-121.5844,38.47387,"796"
-121.6156,38.40462,"797"
-121.55618,38.56118333,"794"
-121.70277,38.26815,"721"
-121.569805555608,38.08,"815"
-121.582194444869,38.0191944445503,"902"
-121.509000000425,38.0516944444181,"906"
-121.448694444233,38.0018055555556,"910"
-121.52,37.9714999998944,"914"
-121.563499999575,37.9425,"915"
-121.775277777778,38.0691666666667,"704"
-121.7075,38.113499999575,"707"
-121.665305555131,38.1788055557667,"711"
-121.68919444455,38.0525,"809"
-121.640499999789,38.0903055556611,"812"
-122.097805555131,38.0648055553444,"418"
-121.868000000053,38.05830555545,"513"
-122.046194444233,38.114000000425,"602"
-122.025666667092,38.1694722223278,"606"
-121.937999999789,38.1671944444378,"609"
-121.88919444455,38.1188055555025,"610"
-122.150499999987,38.0396944443389,"405"
-122.083305555981,38.0513055555025,"411"
-121.989500000211,38.0545000002111,"504"
-121.959694444869,38.0723055553444,"519"
-121.869305555556,38.0328055551306,"520"
-121.797000000211,38.0181944444444,"804"
-122.262194444869,38.0975,"340"
-121.568805555502,37.8593055555556,"918"
-121.367305555542,37.965999999575,"912"
-121.492000000211,38.1048055553444,"919"
-121.750694444444,38.0851944443914,"706"
-122.025194444656,38.0725,"501"
-121.918805555503,38.0454999997889,"508"
-121.844000000425,38.0436944442333,"801"
-122.282805555131,38.0483055559806,"323"
-122.35,38.0603055551306,"328"
-122.303999999894,38.0636111111111,"329"
-121.660083333122,38.2063333331222,"713"
-122.277999999789,38.0611111111111,"336"
-122.337999999789,38.0763888888889,"334"
-122.323999999894,38.0711111111111,"335"
-121.684777777725,38.2384722222222,"716"
-121.647527777353,38.3333888888897,"719"
-121.703083333439,38.2684444444708,"721"
-121.673055555556,38.2372222222222,"723"
-121.584638888836,38.5375833333861,"795"
-121.584444444444,38.4735555553444,"796"
-121.615611111322,38.4047222222222,"797"
-121.693027778203,38.0537777778833,"809"
-121.639916666878,38.0899166668778,"812"
-121.571138888994,38.0871388888361,"815"
-121.582666666242,38.0203888887833,"902"
-121.567888888915,37.9442777782028,"915"
-121.368555555609,37.9664166662417,"912"
-121.453027777672,38.005,"910"
-121.506472222011,38.0500277777781,"906"
-121.494583333333,38.1051944446556,"919"
-121.504055555661,38.1417777776722,"920"
-122.263277777567,38.0992222224333,"340"
-122.146722222433,38.0399166668778,"405"
-122.095555555556,38.0675,"418"
-122.076527777778,38.0502222222255,"411"
-122.026333333122,38.0733333333333,"501"
-122.042391666836,38.1155555555556,"602"
-122.027916666667,38.1705833334389,"606"
-121.937833333544,38.1670833333333,"609"
-121.8891111109,38.1221944443389,"610"
-121.750444444451,38.0860833332275,"706"
-121.7078611109,38.1146944448694,"707"
-121.986083333227,38.0519444444444,"504"
-121.958083333439,38.0747500001056,"519"
-121.917222222222,38.0471666664556,"508"
-121.863111111322,38.0321666664556,"520"
-121.867750000026,38.0588611110056,"513"
-121.791305555767,38.0164444446556,"804"
-121.790311111344,38.0665833335444,"704"
-121.661055555344,38.2064722220111,"713"
-121.691916666561,38.2576944446556,"716"
-121.675027777883,38.2257777775667,"715"
-121.662249999575,38.1774166668778,"711"
-121.639222222433,38.1914722220111,"712"
-121.493027778203,38.1654999997889,"921"
-121.562805555131,38.1356944444444,"923"
-121.479055555131,38.2046944443389,"922"
-121.6475,38.3335000000067,"719"
-121.558777777883,38.2369722223278,"724"
-121.595250000425,38.0482777775667,"901"
-121.795222222011,38.0421944443389,"703"
-121.709166666667,38.0871111112167,"705"
-121.691638888783,38.2582777775667,"716"
-121.669722222222,38.2425,"723"
-122.003583333228,38.0882222223278,"501"
-122.013722222647,38.0610555553444,"504"
-122.263444444869,38.0992777782028,"340"
-122.285083333386,38.1458611106861,"342"
-122.310972222222,38.1858055554497,"343"
-122.307166666456,38.2124722226472,"344"
-122.292750000425,38.2317777782028,"345"
-122.285361111164,38.2409166664556,"346"
-122.28341666667,38.2549166668778,"347"
-122.284638888836,38.2730833334389,"348"
-122.28338888889,38.2861388889944,"349"
-121.6930278,38.05377778,"809"
-121.3685556,37.96641667,"912"
-121.52,37.9715,"914"
-121.5678889,37.94427778,"915"
-121.5671389,37.859,"918"
-121.6399167,38.08991667,"812"
-121.5064722,38.05002778,"906"
-121.86775,38.05886111,"513"
-121.7973889,38.04861111,"703"
-121.7903111,38.06658333,"704"
-121.7504444,38.08608333,"706"
-121.7913056,38.01644444,"804"
-122.1467222,38.03991667,"405"
-122.0955556,38.0675,"418"
-121.8631111,38.03216667,"520"
-122.0423917,38.11555556,"602"
-122.0279167,38.17058333,"606"
-121.9378333,38.16708333,"609"
-121.8891111,38.12219444,"610"
-122.2632778,38.09922222,"340"
-122.0765278,38.05022222,"411"
-122.0263333,38.07333333,"501"
-121.9860833,38.05194444,"504"
-121.9172222,38.04716667,"508"
-121.9580833,38.07475,"519"
-121.6185,38.04625,"901.2"
-121.4530278,38.005,"910"
-121.70875,38.09761111,"705"
-121.7078611,38.11469444,"707"
-121.66225,38.17741667,"711"
-121.6839167,38.23855556,"716"
-121.5711389,38.08713889,"815"
-121.5826667,38.02038889,"902"
-121.844,38.04369444,"801"
-121.4945833,38.10519444,"919"
-122.28875,38.14625,"342"
-122.3092778,38.18236111,"343"
-122.3086944,38.21269444,"344"
-122.3089722,38.22383333,"345"
-122.2871667,38.23638889,"346"
-121.7290278,38.25755556,"718"
-121.6475,38.3335,"719"
-121.7792778,38.26263889,"720"
-121.6730833,38.23725,"723"
-121.6438333,38.28305556,"726"
-121.6520833,38.25625,"724.1"
