Survey,Abbreviation,Agency,Survey_focus,Start_year,Season,Frequency,Data_source,Surface_sample_depth,Bottom_sample_depth
Fall Midwater Trawl,FMWT,CDFW,Fish,1967,Sep-Dec,Monthly,ftp://ftp.dfg.ca.gov/TownetFallMidwaterTrawl/FMWT Data/,Surface bucket,0.3 m
Summer Townet Survey,STN,CDFW,Fish,1959,Jun-Aug,2X monthly,ftp://ftp.dfg.ca.gov/TownetFallMidwaterTrawl/TNS MS Access Data/TNS data/,Surface bucket,0.3 m
Spring Kodiak Trawl,SKT,CDFW,Fish,2002,Jan-May & Dec,Monthly,ftp://ftp.dfg.ca.gov/Delta Smelt/,Surface bucket,NA
20-mm Survey,20mm,CDFW,Fish,1995,Mar-Jul,2X monthly,ftp://ftp.dfg.ca.gov/Delta Smelt/,Surface bucket,NA
San Francisco Bay Study,Bay Study,CDFW,Fish,1980,All year,Monthly,ftp://ftp.dfg.ca.gov/BayStudy/AccessDatabase/,0 - 1 m,0.5 m
Enhanced Delta Smelt Monitoring,EDSM,USFWS,Fish,2016,Jan-Mar & Jul-Dec,Weekly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.415.3,0.3 m or bucket if choppy,0.3 ? 0.6 m
Delta Juvenile Fish Monitoring Program,DJFMP,USFWS,Fish,1976,All year,3X weekly,https://portal.edirepository.org/nis/mapbrowse?packageid=edi.244.4,0.3 m or bucket if choppy,NA
Suisun Marsh Fish Study,Suisun Study,UC Davis,Fish,1979,All year,Monthly,Personal communication,0.3 m,NA
Environmental Monitoring Program,EMP,DWR,Water quality,1975,All year,Monthly,https://portal.edirepository.org/nis/metadataviewer?packageid=edi.458.3,0.9 m,0.9 m
Sacramento Deepwater Shipping Channel Survey,SDSCS,USBR,Water quality,2012,All year,Monthly,Personal communication,0.3 m (recorded),0.3 m (recorded)
San Francisco Bay Survey,SFBS,USGS,Water quality,1969,All year,Monthly,https://www.sciencebase.gov/catalog/item/5841f97ee4b04fc80e518d9f; https://www.sciencebase.gov/catalog/item/5966abe6e4b0d1f9f05cf551,0.5 - 1 m (recorded),0.3 m (recorded)
