"","SubRegion","Temperature_Annual_Mean","Salinity_Annual_Mean","Secchi_Annual_Mean","Chlorophyll_Annual_Mean","Temperature_WithinYear_CV","Salinity_WithinYear_CV","Secchi_WithinYear_CV","Chlorophyll_WithinYear_CV","Temperature_BetweenYear_CV","Salinity_BetweenYear_CV","Secchi_BetweenYear_CV","Chlorophyll_BetweenYear_CV","Cluster"
"1","Mid San Pablo Bay",11.7781626971924,16.7622957796416,65.3734387295174,2.71205974426808,0.119802540969569,0.320384040000053,0.409069606888065,0.507008052086958,0.0589182461332821,0.367539911676984,0.260506749484038,0.366044422865148,"1"
"2","East San Pablo Bay",11.7456185875349,12.6091395921635,55.7762497786177,3.60399867724868,0.132883048492042,0.422957716650696,0.394562778525765,0.59600989835181,0.0652980958994159,0.455395360448223,0.269289494583238,0.49088675751964,"1"
"3","Carquinez Strait",11.6675176384334,8.9284311075744,44.1013430197808,2.39410432468766,0.147059312963555,0.769659076960364,0.432782307290529,0.437138618223069,0.0676771297558324,0.48742861124099,0.190940819316674,0.232134807107958,"1"
"4","Lower Napa River",12.6724079576183,8.45288034676711,34.0722491314788,NA,0.142170043184261,0.572360501032585,0.330489451935306,NA,0.0670427669520301,0.497052413104724,0.237099631709804,NA,"1"
"5","West Suisun Bay",11.6050371374477,6.13106447725481,38.3961538652456,2.16011904761905,0.165161587696482,0.83473266126175,0.43679853148046,0.465363712887042,0.0701523390540361,0.513023721842716,0.171192392491418,0.286224589680423,"1"
"6","Upper Napa River",14.1684056955007,3.62835310592678,37.6320436507936,NA,0.0723368207549031,0.668793760335591,0.265159699572988,NA,0.114081190045416,0.993195967349245,0.364483940288007,NA,"2"
"7","Mid Suisun Bay",11.3655054415711,3.14859939772117,37.2361034700595,2.12615798399132,0.170488681048086,1.09121746731822,0.380825609579268,0.565437017154537,0.0653738688041182,0.776501580157604,0.216445005272465,0.296000073984616,"3"
"8","Suisun Marsh",11.7221564993991,2.0796662625135,25.7098652079652,3.04944444444444,0.199096999278493,0.608374647813353,0.305953399611786,0.547578895397586,0.0789429261736945,0.554228375397964,0.143957250601347,0.547856309424036,"1"
"9","Honker Bay",10.9054307352229,1.8134697021726,40.7456772690642,2.44483641975309,0.179527618368614,1.06835843937206,0.544270626645128,0.628343576735291,0.0826670954087361,0.89117017468244,0.203646658396154,0.682709015026604,"3"
"10","Lower Sacramento River",11.2529350462446,0.630338561795805,44.5707920852853,3.09006025687276,0.177766915734897,1.20133213671065,0.372821960089341,0.579776605138942,0.0684876055757705,1.02671516403296,0.246626325159546,0.896433800587527,"3"
"11","Lower San Joaquin River",11.3607574206912,0.712386585595367,51.657451893327,1.78088888888889,0.179013282996064,1.02024609437418,0.322060765572211,0.552762309578355,0.066271198875992,1.00728564262595,0.25781596189645,0.421923537178131,"3"
"12","Sacramento River Ship Channel",12.2980910007982,0.426876200651003,87.8176880398605,6.89020452507373,0.181978735335156,0.213718198112806,0.623991712108271,1.18317389749279,0.0674915601385674,0.168052987355477,0.211124096834123,0.452837358332341,"4"
"13","San Joaquin River at Twitchell Island",11.1110042462945,0.190718859382367,69.6758575251889,1.4587962962963,0.186616969074643,0.652855492994382,0.387375746017198,0.381769082366419,0.072412357202893,0.619143098997027,0.349274372325228,0.295565246148604,"3"
"14","San Joaquin River near Stockton",12.3851813341697,0.286009313496627,90.2277913745419,3.65074074074074,0.199466612393563,0.384663521751965,0.339757642916599,0.553880816062972,0.0740750360231574,0.386413479283768,0.400556886745495,0.748803995615154,"5"
"15","Sacramento River near Rio Vista",11.0010259777749,0.158537559750726,56.1926230441595,2.60417582549996,0.179212456887134,0.798069488655833,0.483578124863173,0.505660330558298,0.0719641297289883,0.776055065581176,0.357852496605039,0.377999978571951,"3"
"16","Upper San Joaquin River",12.1005629457641,0.353089352407407,61.2724105610583,13.714537037037,0.199555302633158,0.286072922094165,0.337198599731391,0.708146267283316,0.0888781178339095,0.357489682387014,0.335595077851818,0.766532366196378,"5"
"17","Franks Tract",11.4903495655617,0.184116455038581,86.6435708869123,1.65455555555556,0.183135672379662,0.500319601316744,0.350953842824081,0.421184092058105,0.0815331302080935,0.587057528977525,0.291819567644393,0.328723448171996,"5"
"18","Old River",11.6903735576447,0.185295950544423,103.521414579452,1.59425925925926,0.206231773025611,0.280922851487392,0.312418385662091,0.467123653730393,0.0798472114017379,0.381696499385435,0.310495544792171,0.481363395820475,"5"
"19","Holland Cut",11.6008226424922,0.176245521787368,98.9787696961874,NA,0.207003648023607,0.339248596467048,0.356909238490757,NA,0.0919014266404326,0.450758493790932,0.3156581858374,NA,"5"
"20","Victoria Canal",11.7576812739385,0.215909624696614,112.099891730596,1.70777777777778,0.198594598640986,0.28354702467339,0.272778081626224,0.669531120356282,0.0855696830869835,0.353443767568626,0.256751102916803,0.265052418187795,"5"
"21","Mildred Island",11.97464538352,0.195357144832042,118.64632808337,NA,0.21265143685534,0.19285363615219,0.254416395766943,NA,0.0867217319925045,0.280448691326389,0.304144901637319,NA,"5"
"22","San Joaquin River at Prisoners Pt",11.1964971199509,0.136647981224153,87.5534763825033,1.21740740740741,0.188487493234852,0.334201759654212,0.374241003609896,0.401635198963001,0.0653500608368239,0.306483172256679,0.316294879663127,0.374654195050025,"5"
"23","Disappointment Slough",11.9527635405153,0.172577318111111,133.226271864291,4.82,0.251230976707927,0.137520685014868,0.358521254090347,0.601295447343875,0.0717779459170116,0.2470863878482,0.424382781829826,1.95850042081285,"5"
"24","Cache Slough and Liberty Island",11.687910540962,0.144160503700896,47.9597412418795,4.00003962534921,0.1896463317692,0.409002246886425,0.478629924827957,0.591103099457156,0.0761058226330382,0.183950242120594,0.439160665805195,0.335723403073929,"4"
"25","Sacramento River near Ryde",10.726374998105,0.10079963748125,64.89375002295,NA,0.162302810007394,0.213539268208304,0.505163357973739,NA,0.0954050850829747,0.221892556496668,0.476597356882521,NA,"4"
"26","North and South Forks Mokelumne River",11.1491493548861,0.0853559786209545,92.3541761533387,NA,0.186792608060164,0.351542547537941,0.425103087584349,NA,0.087469318618434,0.293761350649504,0.289921559346269,NA,"5"
"27","Upper Sacramento River",10.6970340950787,0.0842383909760141,55.0633712706189,2.76175925925926,0.175303767381299,0.202565660705016,0.453794074427451,0.413756866461771,0.0902718433759618,0.180590385310167,0.329150240321349,0.402492569884889,"4"
