SurveyCategory,Core_Survey,CommonName,N_Fish,Length_Mean,Length_SD,Length_Min,Length_Q1,Length_Q5,Length_Q25,Length_Median,Length_Q75,Length_Q95,Length_Q99,Length_Max
Beach Seine,FALSE,American_Shad,6185,44,19,23,25,25,29,36,57,80,91,159
Beach Seine,FALSE,Chinook_Salmon,161657,44,13,21,31,33,36,39,46,72,92,700
Beach Seine,FALSE,Delta_Smelt,999,58,16,25,26,28,44,65,70,77,83,100
Beach Seine,FALSE,Inland_Silverside,1600164,52,16,3,25,29,40,51,63,79,89,600
Beach Seine,FALSE,Longfin_Smelt,12,41,28,25,25,26,28,29,32,101,103,103
Beach Seine,FALSE,Northern_Anchovy,2136,43,11,25,31,33,37,40,44,64,89,116
Beach Seine,FALSE,Pacific_Herring,3104,26,3,25,25,25,25,26,26,28,33,95
Beach Seine,FALSE,Prickly_Sculpin,1495,47,24,21,25,25,28,36,60,95,116,168
Beach Seine,FALSE,Shimofuri_Goby,4330,46,13,22,25,27,35,45,55,69,80,162
Beach Seine,FALSE,Shokihaze_Goby,3,66,4,62,62,62,64,67,68,69,69,69
Beach Seine,FALSE,Splittail,144411,31,10,20,20,21,25,29,34,46,64,334
Beach Seine,FALSE,Starry_Flounder,85,53,41,22,25,26,33,42,60,105,233,300
Beach Seine,FALSE,Steelhead,397,187,53,26,31,48,174,197,214,246,300,408
Beach Seine,FALSE,Striped_Bass,7483,64,32,24,25,28,40,56,83,115,170,450
Beach Seine,FALSE,Threadfin_Shad,181898,67,21,23,25,28,53,71,82,97,110,165
Beach Seine,FALSE,Topsmelt,3764,50,22,25,25,26,30,44,63,89,109,140
Beach Seine,FALSE,White_Catfish,303,49,56,25,25,26,29,31,42,152,298,390
Bottom Trawl,FALSE,American_Shad,2501,84,26,12,27,42,71,82,94,123,176,372
Bottom Trawl,FALSE,Chinook_Salmon,53,49,14,30,30,33,37,48,57,74,87,91
Bottom Trawl,FALSE,Delta_Smelt,185,56,13,22,29,35,46,58,66,76,81,87
Bottom Trawl,FALSE,Inland_Silverside,6,59,12,50,50,50,50,53,63,76,79,80
Bottom Trawl,FALSE,Longfin_Smelt,8305,56,21,12,24,27,42,52,68,99,118,151
Bottom Trawl,FALSE,Northern_Anchovy,74,62,16,26,32,36,50,64,69,87,98,114
Bottom Trawl,FALSE,Pacific_Herring,3063,56,28,16,27,33,41,45,62,96,183,211
Bottom Trawl,FALSE,Prickly_Sculpin,12,28,9,12,12,14,20,30,34,40,41,41
Bottom Trawl,FALSE,Shimofuri_Goby,4,58,27,18,19,25,53,68,73,75,76,76
Bottom Trawl,FALSE,Shokihaze_Goby,2,63,4,60,60,60,62,63,64,66,66,66
Bottom Trawl,FALSE,Splittail,22316,175,80,19,35,44,116,165,237,315,354,405
Bottom Trawl,FALSE,Starry_Flounder,2,230,71,179,180,184,204,230,255,275,279,280
Bottom Trawl,FALSE,Striped_Bass,145656,90,68,8,15,20,36,82,119,213,327,1072
Bottom Trawl,FALSE,Threadfin_Shad,2783,77,20,22,33,44,62,76,90,111,123,186
Bottom Trawl,FALSE,Topsmelt,80,87,19,37,50,58,73,88,99,112,136,137
CDFW,TRUE,American_Shad,38961,67,23,5,11,20,58,70,81,98,112,399
CDFW,TRUE,Chinook_Salmon,8844,83,39,26,35,40,74,82,90,106,160,1100
CDFW,TRUE,Crangon,4,26,5,20,20,21,24,26,28,32,33,33
CDFW,TRUE,Delta_Smelt,26816,54,19,5,6,13,43,61,67,75,80,94
CDFW,TRUE,Inland_Silverside,9297,61,25,4,5,13,45,68,80,92,100,170
CDFW,TRUE,Longfin_Smelt,173098,15,12,3,5,6,7,11,21,32,64,161
CDFW,TRUE,Northern_Anchovy,153826,68,18,2,11,32,61,70,77,92,108,553
CDFW,TRUE,Pacific_Herring,560494,14,8,4,8,9,10,11,15,29,44,216
CDFW,TRUE,Prickly_Sculpin,126500,7,2,3,5,5,6,6,7,9,11,123
CDFW,TRUE,Shimofuri_Goby,2556,26,18,3,12,14,16,19,25,69,85,110
CDFW,TRUE,Shokihaze_Goby,2082,21,11,12,15,15,17,18,20,40,75,120
CDFW,TRUE,Splittail,1787,67,70,6,8,16,28,38,63,245,305,370
CDFW,TRUE,Starry_Flounder,419,83,95,6,8,8,9,42,110,280,334,435
CDFW,TRUE,Steelhead,651,224,33,40,156,179,205,224,240,270,321,430
CDFW,TRUE,Striped_Bass,75570,20,31,3,4,6,9,13,19,59,154,804
CDFW,TRUE,Threadfin_Shad,107083,44,30,2,5,7,15,46,69,90,112,163
CDFW,TRUE,Topsmelt,1996,66,44,4,5,9,38,70,81,133,255,343
CDFW,TRUE,Tridentiger_Spp.,217724,11,4,1,3,5,8,11,14,17,18,37
CDFW,TRUE,White_Catfish,5300,43,47,5,12,14,16,22,47,154,227,420
CDFW,TRUE,White_Sturgeon,222,79,192,9,10,10,12,13,14,529,878,1250
Other Pelagic,FALSE,American_Shad,638439,71,22,12,26,30,60,70,81,104,134,1200
Other Pelagic,FALSE,Chinook_Salmon,219405,87,20,26,63,72,79,84,91,107,145,880
Other Pelagic,FALSE,Delta_Smelt,8163,64,13,25,34,43,56,64,73,85,91,113
Other Pelagic,FALSE,Inland_Silverside,228716,46,14,12,25,28,36,43,53,74,85,186
Other Pelagic,FALSE,Longfin_Smelt,23187,96,26,20,29,40,78,104,116,126,132,190
Other Pelagic,FALSE,Northern_Anchovy,1233807,76,17,24,40,50,66,75,85,107,120,183
Other Pelagic,FALSE,Pacific_Herring,78149,60,28,22,31,37,46,54,65,118,185,247
Other Pelagic,FALSE,Prickly_Sculpin,70,63,30,22,23,25,37,59,83,112,138,150
Other Pelagic,FALSE,Shimofuri_Goby,889,72,17,25,32,42,62,74,84,97,103,167
Other Pelagic,FALSE,Shokihaze_Goby,180,69,18,27,30,43,58,68,80,93,108,178
Other Pelagic,FALSE,Splittail,230225,42,25,18,22,25,31,38,45,60,182,398
Other Pelagic,FALSE,Starry_Flounder,404,146,85,27,31,37,54,158,213,280,305,342
Other Pelagic,FALSE,Steelhead,2458,231,37,92,145,187,210,227,246,285,357,500
Other Pelagic,FALSE,Striped_Bass,63404,112,90,10,25,28,47,92,128,300,447,1120
Other Pelagic,FALSE,Threadfin_Shad,381322,51,25,5,25,26,32,41,65,101,120,221
Other Pelagic,FALSE,Topsmelt,8538,83,24,25,32,44,71,81,95,118,153,324
Other Pelagic,FALSE,White_Catfish,2922,122,75,23,25,30,50,114,181,245,300,518
